Timestamp,"This survey is intended specifically to understand the middleware experience for ROS 2 Foxy; but we're open to hearing about experiences with other ROS versions. For your answers to this survey, what version of ROS 2 are you using? ",Which of the following best describes your robotic application?,Which of the following transport layers does your application use?,Which of the following best describes your robot's application domain?,On a scale from 1 to 10 please rate your computer networking and debugging skills. ,We want to understand your ROS experience. How many years have you been using ROS? ,Please rate your familiarity with ROS Middleware.,Please rate your Linux debugging and development skills. ,Have you changed your default ROS 2 Foxy RMW ?,For ROS 2 Foxy what ROS middleware layer are you primarily using? ,Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW worked out of the box for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I understand how RMWs work.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I am capable of changing my RMW easily.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would/have considered changing my RMW implementation.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [Open Robotics provides sufficient information for me to make a sound RMW selection.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient support.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient  documentation.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient debugging tools.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient features for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient performance for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I am considering or have considered changing my current RMW implementation due to technical challenges.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [DDS/RMWs have improved the overall ROS experience.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would advocate for my current RMW to be the default ROS 2.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would recommend my current RMW to a friend.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My RMW interoperates well with other systems. ],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [Based on the out-of-the-box experience I would recommend ROS2 Foxy to a friend.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [ROS should continue to use DDS as the default RMW implementation.],"Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I consider my current RMW implementation robust, reliable, and ready for production.]",Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I consider my current RMW implementation secure.],"Please briefly describe your robotics application and and its associated network topology. This description helps us understand sub-domains where particular RMWs may have issues. In particular, specify if you had privileged/root access to the network infrastructure or not. ","Please describe your ROS RMW journey for ROS 2. If you used the default and it worked great, let us know. If you had to change RMWs please let us know why this happened and what that process was like. If you had a good or bad experience with your RMW we would to hear about it. ","How can the RMW ecosystem be improved? Are there features you require? Are there tools, documentation, or materials that would improve the ROS 2 experience?",Would you like to advocate for or against a particular default RMW to the TSC? If so please identify the RMW and why you believe it is the best choice.,Is there anything else you would like us to know or to communicate to the TSC? 
2020/10/06 7:59:31 AM MDT,Foxy,One robot powered with a single computer,Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that you control.,Corporate R&D,8,10,3,5,Yes,ADLink CycloneDDS,Disagree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,NO OPINION / NOT APPLICABLE,A mobile manipulator with onboard computer. A Linux desktop connects for visualization (RVIZ2) over a Ubiquiti networks wifi.,I started with FastDDS - but the service discovery bug was killing my ability to develop. Switched to CycloneDDS. Had some initial issues with multiple network ports on CycloneDDS - but the developers were awesome in providing support and that was quickly resolved. I've stuck with CycloneDDS because it works well for my application.,"All of the RMW implementations need a ""guide to configuring"" like CycloneDDS. There's lots of knobs - but finding out what they do is quite difficult.",I've seen so many people switching to CycloneDDS (especially those using nav2).,
2020/10/06 9:58:39 AM MDT,Eloquent,One robot powered with a single computer,Inter process communication / all on a single machine,Medical,7,4,3,5,Yes,OpenDDS,Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,NO OPINION / NOT APPLICABLE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,Agree,NO OPINION / NOT APPLICABLE,Strongly Agree,Agree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,"One computer connected to multiple sensors and actuators, so inter-communication based mainly","We started using ROS2 Eloquent default RMW, but we found some problems (Services hangs up a lot of times), so we switched to OpenSplice, with satisfactory results. Not perfect, but enough for our prototypes.","Better documentation would be wonderful: Compared with ROS1, ROS2 need to evolve to reach ROS1 documentation, tutorials, wikis... level","We found problems in all the RMWs we used, so we cannot choose an special RMW in this moment. All we can say is OpenSplice is working fine.",Good job with ROS2 development! We love its stability compared with ROS1
2020/10/06 8:10:54 PM MDT,Foxy,One robot powered with a single computer,"Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that you control.;Embedded communications (serial, I2C, USB, etc)",Industrial,6,8,3,4,No,eProsima FastDDS (Foxy default),Agree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,NO OPINION / NOT APPLICABLE,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,"Robot inside a building, that is remplacing follow line robot with navigation2 stack and lidar sensors","We have used the default RMW for ros2 foxy, really is my first experience with ros2, because last projects I have work it with ROS1","Not in this project , but for academy should be nice to be easy to scale the ROS to be used from wan network, principally rigth now in COVID era.","I like ciclone DDS like a new and open source implementation, but I  do not know the consequences for this change",
2020/10/09 2:13:09 AM MDT,Dashing,One robot with multiple onboard computers,"Inter process communication / all on a single machine;A hardwired Ethernet connection;Embedded communications (serial, I2C, USB, etc);PCIe",Autonomy / Vehicle,7,1,3,5,No,eProsima FastDDS (Foxy default),Disagree,Agree,Neutral,Neutral,Neutral,NO OPINION / NOT APPLICABLE,Neutral,NO OPINION / NOT APPLICABLE,Disagree,NO OPINION / NOT APPLICABLE,Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,Neutral,Neutral,Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,,Using in context of Autoware.auto. Had to change to cyclone DDS in order to use LGVE Simulator ,,,
2020/10/09 3:14:54 AM MDT,Foxy,"Multiple options from the list above (1, 3, 5)",A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls,Industrial + Support Software + Logistics,8,7,5,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"Robotics and Automation for Industry. Aplications gravitate around industry 4.0 ideas in which distributed assets must cooperate some of them are built upon well-known robotics platforms, others are tailored robotics/automation modules that have been developed as part of a larger turn-key solution. In general, we account for privileged/root access to the network but our aim is to materialize more ambitious deployments including convenient integration with cloud applications that run on external infrastructures.  ","For the time being, I have always relied on the default ROS RMW. I found no problems in my way, so all I can say is that I am having a good experience with it.",Probably is just a matter of dedicating some more time from my side to this aspect but I would say that I miss some documentation and examples on how to exploit the DDS QoSs from the ROS level.,"I would vote positively for the current one, in fact I'have gone through their documentation (Fast DDS, XRCE DDS and Integration Service) besides the official ROS documentation. To me, the integration service is being quite useful to promote the acceptance of ROS2 features. I am familiar with this stuff and I am not willing to experience changes on this part of my systems.",
2020/10/09 3:16:50 AM MDT,Foxy,Multiple robots controlled from multiple computers,Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls,Academic Research,7,4,3,5,Yes,eProsima FastDDS (Foxy default),Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Teaching robotic courses at university, using multiple robots and components across cloud infrastructure. We don't manage the network infrastructure and firewalls / NAT are often in the way. Multicast does not go across our networks so discovery needs to be taken care of.",I used the default,I would like networking to be hidden as much as possible. I'd like ROS2 to provide native tools to configure networking and bridge across different subnets.,"We had no issues specific to the default DDS implementation, we had issues with DDS default discovery (i.e., multicast)",
2020/10/09 4:54:36 AM MDT,Foxy,Multiple robots controlled by a single computer,A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.,Corporate R&D,9,3,4,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"We have several robots using raspberry pi that communicates with a centralized server.
The server uses ethernet and the raspberries wifi.",We are using the default.,,The current stardard works great and its support is generally very good.,
2020/10/09 5:01:45 AM MDT,Foxy,One robot powered with a single computer,"Inter process communication / all on a single machine;A hardwired Ethernet connection;Embedded communications (serial, I2C, USB, etc)",Autonomy / Vehicle,8,2,4,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,ROS2 development for embedded systems,Foxy default RMW works well,,"eProsima FastDDS is a mature DDS product with complete support, features and documentation.",
2020/10/09 5:23:20 AM MDT,Foxy,One robot powered with a single computer,Inter process communication / all on a single machine,Corporate R&D,7,1,4,4,No,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,
2020/10/09 9:07:55 AM MDT,Foxy,One robot with multiple onboard computers,"Embedded communications (serial, I2C, USB, etc)",Education,7,3,4,4,No,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,For fun. Toys with microcontrolers. I use USB and LAN. I have root access.,Default worked great for me,No.,Best is RTI but it is not free. Current default fastDDS works great.,No
2020/10/10 4:47:21 PM MDT,Foxy,Autonomous vehicle -- with a multiple onboard and remote computers,Inter process communication / all on a single machine;A hardwired Ethernet connection;4G LTE / 5G  / Telecom,Autonomy / Vehicle,9,2,3,5,Yes,ADLink CycloneDDS,Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Autonomous vehicle... multiple Ethernet connected computers & sensors. LTE and WiFi links to engineering stations and remote operator control stations. ,Converted to CycloneDDS... Got better network performance. Marginally more stable. Better visibility and debug tools. Wasn't that bad to convert over. ,"Faster failover on node failure and better visibility when they occur. Better network ""sniffing"" tools would be nice as well as multi-cast. An integrated highly accurate distributed time-sync (IEEE1588?) across all ROS nodes would be great so we can better line-up the sensor and processing data. ",CycloneDDS... only based on my limited experience seems pretty good. ,As a university the DDS being fully open source is very important. 
2020/10/12 12:11:45 PM MDT,Foxy,One robot with multiple onboard computers,"Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls;4G LTE / 5G  / Telecom;Embedded communications (serial, I2C, USB, etc);Acoustic links, Power Line Communications (ethernet over 2-wire AC)","Industrial, research (university), aquaculture, hardware development, prosumer drone users",10,7,4,6,Yes,ADLink CycloneDDS,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,"Marine robotics 'OS'/framework built on top of ROS2 and DDS, which includes multiple CPU and MCU components communicating over many types of network interfaces (both embedded links, shared memory, standard IP links, and non-standard high-bandwidth links). This 'OS' is a base host operating system with a number of docker images running several ROS2-based and other types of applications that provide a functional marine vehicle (both manually controlled and autonomous underwater and surface vehicles like ROVs, AUVs, boats, benthic rovers, underwater camera systems, sensor systems, etc). The vehicles typically run on their own individual private networks, but are also designed to run on several network topologies, such as many vehicles on a single network, over the internet via LTE, over mesh networks, and more. Control over the network is often available in our applications, except when teleoperating over the internet, where some custom infrastructure is required.","I started by using pure DDS for several years (before ROS2 was even announced), mainly using RTI's Connext Pro and Connext Micro implementations. I have a lot of deep experience working with DDS in many environments, such as aerial drones at NASA, underwater drones at OpenROV, self-driving cars at Voyage Auto, and now at Mission Robotics, a marine robotics company I recently co-founded with two other former OpenROV colleagues. I have also given presentations at RTI's user conference and other events. I was hoping to use ROS2 at OpenROV for the development of our consumer underwater drone, Trident, but at the time ROS2 was only on the Bouncy release and I did not find it adequate to be used in a consumer product that was entirely sealed and could not be manually updated or have its SD card replaced by the end user, nor did I find FastRTPS to be stable or capable enough to meet our technical requirements, leading us to use Connext Pro, keeping things mostly compatible with ROS2 so that we could migrate later. I followed ROS2 development since the very beginning and started to use it heavily after the Dashing release, which I saw as a major milestone for ROS2 (I was there at the meetup event when they cut the cake!), and have since been using Dashing, Eloquent, and now Foxy for early development. I am fairly happy with Foxy from the RMW API standpoint, though I have continued to have a number of intermittent issues with FastRTPS (now FastDDS). We switched to using Cyclone DDS, which resolved most of these issues and intend to stick with it going forward. There may be cases where we choose to use RTI's DDS implementations on a case-by-case basis with certain customers.","The most helpful thing for myself and many other developers I have talked with in the industrial/commercial space is for the RMW to do a better job of exposing DDS features to the developer. In our use-cases, we only ever use one single implementation within an entire deployment and development environment, and we choose that implementation based on its capabilities and features. This could be achieved by either providing direct access (and the ability to create and control) all of the DDS entities/APIs, and/or by creating a DDS abstraction layer that exposes all standard DDS features, as well as ways to access vendor extensions and unique features. 

Historically, the docs and reading materials/tutorials have been all over the place in terms of quality, consistency, and use of best-practices, but I know these are currently being worked on heavily and there has been a lot of progress, so I won't harp on that.","Right now, I would advocate for Cyclone DDS, with FastDDS still being a relatively close second. I think FastDDS works for most users in most use-cases, particularly users who may not be working in commerical/industrial environments, such as university labs or personal projects, but I have had both performance and reliability issues with it relating to discovery, implementation of DDS features, sending of large-data, and more, which Cyclone fully resolved for me. License-wise, they are both agreeable options.","Just want to say that I find the ROS2 TSC meeting notes extremely useful for tracking the direction and development of ROS2, and that overall I have been generally happy with the development and adoption of ROS2. I've been eagerly anticipating the period of time we are now in, with respect to ROS2's maturity, and am enjoying developing our products with it and teaching and demonstrating to our team how it will greatly change the way we develop software. 

I also really appreciate the work done by Katherine Scott in working with the community to solicit feedback (like this survey!), improve the overall ROS2 experience in many ways, and also her efforts to keep discussions civil in the ROS Discourse. Because ROS2 is moving into new territory targeting new application domains, industrial applications, and being adopted by large organizations and corporations, it is clear that the composition of the community is changing (which I believe is a good thing), which will require, as I have seen, good stewards of the community to make sure everyone feels welcome and can contribute and engage with others in a positive way. 

Thanks and keep it up, everyone!"
2020/10/13 8:28:17 AM MDT,Foxy,One robot controlled from with second remote computer as a terminal.,Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.,Autonomy / Vehicle,2,5,3,4,No,eProsima FastDDS (Foxy default),Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,NO OPINION / NOT APPLICABLE,Disagree,Strongly Disagree,Strongly Disagree,Disagree,"single robot autonomously driving, part of bigger system","started at B, and in general the added complexity and non-trivial performance penalties of DDS were a nightmare compared ros1.. ",disable all the weird delaying discovery systems by default. default disable networked systems.,nope,nope
2020/10/13 1:20:52 PM MDT,Foxy,One robot powered with a single computer,"Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that you control.;Embedded communications (serial, I2C, USB, etc)",Academic Research,6,3,3,5,Yes,eProsima FastDDS (Foxy default),Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Single robot working independetly controlled over Wifi,Have used Fast DDS from the beginning and faced no issues. Switched to Cyclone and it failed to work for Nav2 on Ubuntu 18.04.,"More documentation on the features available in each RMW, Shared Memory support, better documentation and examples and benchmarks.",-,"If there are no signifcant advantages please continue with the currrent one. If it ain't broke, don't fix it."
2020/10/13 3:50:04 PM MDT,Foxy,"Implementing HW support for cyclone DDS with zero packet loss, no skew and no jitter",Lightfleet Multiflo,Autonomy / Vehicle,10,1,5,7,No,ADLink CycloneDDS,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"We are working with ADLink to bring CycloneDDS with Lightfleet Multiflo(tm) to the market. Very briefly, Lightfleet Multiflo is a hardware based fabric with zero packet loss and zero skew/jitter. ","We are working with ADLink, and as such, selected CycloneDDS.","With our fabric (Lightfleet Multiflo), Cyclone DDS will have zero packet loss, zero Skew & Jitter, and muticast packets will be delivered to all endpoint simultaniously.",I am advocating for CycloneDDS!,We look forward to working with the community to bring all of the Lightfleet Multiflo advantages to the Cyclone DDS users - both current and new.
2020/10/13 4:20:46 PM MDT,Dashing,Multiple robots controlled from multiple computers,4G LTE / 5G  / Telecom,Logistics / Fullfillment,8,9,2,5,Yes,Gurum DDS,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Agree,Neutral,Neutral,It is an outdoor autonomous robot and uses LTE and 5G routers. The part connecting the WAN and LAN is very important.,"The Cyclone DDS is used by default for personal work unless it is company work. Especially for me, it showed better performance than Fast DDS when it had to connect with VPN.","There are tools to compare RMWs, but I would like to openly share the benchmarking information on a quarterly basis at ROS discourse.",I have no intention of advocating for a specific RMW. It doesn't matter if it's open source and has good performance. So I think that changing defaults from time to time can grow through competition.,I am always grateful. Thank you.
2020/10/13 5:15:08 PM MDT,Foxy,One robot controlled from with second remote computer as a terminal.,"A wireless network (802.11 a/b/g) that you control.;Embedded communications (serial, I2C, USB, etc)",Education,3,3,2,3,Yes,eProsima FastDDS (Foxy default),Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,"I use one robot, robot use wifi , and there is two pc connected by wifi( sbc, remote pc). And i use routor ,no use lte, but i will consider lte, 
and i don't have privileged/root access to the network infrastructure.","i think default rmw is no problem, the rmw change reason is just education.
I don't like no free dds :)","No, sorry i just ros application user.
I don't consider dds, just use default dds",Sorry i just only use default fast dds,"I need ros2 serial foxy version 
I think there is no solution package to communication arduino at foxy version
Thank you"
2020/10/13 7:47:52 PM MDT,Foxy,One robot with multiple onboard computers,"Inter process communication / all on a single machine;A hardwired Ethernet connection;Embedded communications (serial, I2C, USB, etc)",Autonomy / Vehicle,10,4,5,6,Yes,ADLink CycloneDDS,NO OPINION / NOT APPLICABLE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,"CycloneDDS, it's based on C and light weight",
2020/10/13 10:53:13 PM MDT,Foxy,Sensor with a complex processing flow,Inter process communication / all on a single machine,Hardware Develpoment,7,10,4,5,No,OpenDDS,Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Sensor on a single big computer,"I had to use IPC feature of opendds. I had some small configuration issue to enable it, but OpenDDS support helped me on the discourse.","Fastdds documentation is very good, but I can't find a good rmw_fastdds documentation.","The fastest teams seems to be very active, and answers quickly to my question. For me this is a very good point. But I didn't test the support capacity of other vendors.",
2020/10/14 2:44:30 AM MDT,Foxy,Multiple robots controlled from multiple computers,Inter process communication / all on a single machine,Logistics / Fullfillment,9,3,4,6,Yes,eProsima FastDDS (Foxy default),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,
2020/10/14 3:39:54 AM MDT,Foxy,ROS2 robots interacting with cloud-based smart solution,A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls;4G LTE / 5G  / Telecom,Industrial,6,3,3,4,No,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,"The kind of applications we are developing use to integrate ROS/ROS2-based robots within the architecture of solutions powered by FIWARE.   FIWARE (https://fiware.org) is an open source initiative aimed at bringing standard-based platform technologies that ease development of smart solutions in multiple sectors (e.g., smart cities, smart manufacturing, etc).  FIWARE collects information from different sources (robots, IoT devices, information systems) to build a digital twin data representation of the world and support which is then constantly kept updated and processed/analysed to bring support to the automation of certain processes or the adoption of smart decisions.   This may turn into actuations channeled again through different means (robots, IoT devices, other systems).   ROS2 robots may connect with the FIWARE backend through different kind of networks since the backend may run on the cloud or on dedicated servers on premise.  The connection used to be implemented through gateways that translate between DDS and NGSI (the standard used for context information management in FIWARE).","We started to work in the area of ROS/ROS2 and FIWARE since around 2-3 years.  You may check some webinars to learn more (some are generic about FIWARE, others more robotics-centric) at  https://www.fiware.org/community/fiware-webinars/

We have been working with eProsima's Fast DDS as RMW and works pretty well.",More information how to exploit QoSs in DDS would be valuable.,eProsima's Fast DDS continues being the best choice as default RMW given its robustness and performance.  Benchmarking results demonstrate that.,I believe that means for easing the integration of ROS2 systems within architecture of smart solutions powered by FIWARE (https://fiware.org) is worth exploring.
2020/10/14 5:55:39 AM MDT,Foxy,Multiple robots controlled by a single computer,"Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls;4G LTE / 5G  / Telecom;Embedded communications (serial, I2C, USB, etc);Husarnet VPN",Academic Research,8,3,3,5,Yes,ADLink CycloneDDS,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Our biggest robot - Husarion Panther (https://husarion.com/manuals/panther/) - contains a router inside (Wi-Fi, LTE, Ethernet) and to that router there are (in the default configurations) two computers connected over ethernet: user computer (Intel NUC, Vizi-AI or iPI) and low-level computer (RaspberryPi 4). The robot can be connected to the Internet over LTE or Wi-Fi. To connect a user laptop to the robot, the default solution that we recommend is Husarnet VPN (https://docs.husarnet.com/docs/tutorial-ros2 ). Husarnet allows P2P, low latency connection over the Internet between user laptop and the robot.","We started with eProsima DDS, however on ROScon in Macau we talked about Cyclone DDS and decided to try it. From our experience Cyclone is much more stable and reliable. Also support from their tech guys is great.","ROS 2 is currently not as popular as ROS, so sometimes debugging is much harder, becasue less people faced the same problem before and often there are not answers in the Internet. Next to good documentation we love examples and tutorials that step-by-step show you how to run somenthing, or use a new technology in ROS 2 ecosystem.","Yes, I strongy recommend Cyclone DDS for the reasons mentioned before: it's stability, code quality, and great support experience",
2020/10/14 7:26:11 AM MDT,Dashing,One robot powered with a single computer,Inter process communication / all on a single machine,Autonomy / Vehicle,7,2,4,5,Yes,ADLink CycloneDDS,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,,,,,
2020/10/14 7:51:41 AM MDT,Foxy,One robot with multiple onboard computers,A hardwired Ethernet connection,Industrial,8,2,4,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,"porting ROS2 to VxWorks, integrate with micro-ROS","I have ported a default RMW and it works for me, didn't look into other RMWs",,"FastRTPS, it works under VxWorks",
2020/10/14 9:52:37 AM MDT,Eloquent,One robot with multiple onboard computers,Inter process communication / all on a single machine;A hardwired Ethernet connection,Industrial,6,4,3,4,Yes,ADLink CycloneDDS,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,NO OPINION / NOT APPLICABLE,Agree,Agree,Agree,Agree,"My system uses a UR-10e collaborative robot to perform an industrial surface processing operation using unique-per-cycle motion plans based on perceived data about the environment. Since the UR driver is only available for ROS 1 currently, we communicate with the robot through the ros1_bridge node. The system consists of a collection of ROS2 nodes running on two computers: a ""main"" PC and a dedicated planning server (both integrated into the workcell), which communicate through a direct Ethernet connection. As the system designed I do have root access to the network infrastructure, but the system itself does not operate with elevated privileges.","Started out with FastRTPS, since it was the default. As we added more nodes and greater volumes of larger messages we noticed increased latency and higher incidence of dropped messages (at least under the default settings -- we didn't explore tuning the settings to fix this).
Next we moved to OpenSplice. This resolved the issue with dropped messages and let us keep working. However, nodes took a long time to initialize and begin publishing messages, and topics advertised by newly-launched nodes were not consistently visible to existing nodes. These weren't direct obstacles for our system so we used OpenSplice for several months.
We tried CycloneDDS when we updated the system to Eloquent, and it didn't produce any of the problems I've described, so that's what we're using right now.",Need more information describing RMW and DDS configuration beyond basic setup and operation. One example was that I needed to learn how to configure DDS to use specific network interfaces to allow my application to work as a distributed system across several computers (this might be a CycloneDDS-specific thing).,"I've previously publicly endorsed CycloneDDS, and that's still my pick going forward. It had the best out-of-the-box performance on my system of all the implementations I've tried.",
2020/10/14 11:11:48 AM MDT,Foxy,Multiple robots controlled from multiple computers,Inter process communication / all on a single machine;A hardwired Ethernet connection,Autonomy / Vehicle,8,6,4,6,Yes,eProsima FastDDS (Foxy default),Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,,We use both FastDDS and CycloneDDS - they have different strengths. The default of FastDDS works well for us. In simulation we use CycloneDDS for technical reasons (Unity3D bug with exporting incompatible symbols),Unified debugging and performance tools,,
